iteration(log10) 	error(log10)
550	-3.46422
551	-3.4701
552	-3.47598
553	-3.48186
554	-3.48774
555	-3.49361
556	-3.49949
557	-3.50537
558	-3.51125
559	-3.51713
560	-3.52301
561	-3.52889
562	-3.53477
563	-3.54065
564	-3.54652
565	-3.5524
566	-3.55828
567	-3.56416
568	-3.57004
569	-3.57592
570	-3.5818
571	-3.58768
572	-3.59355
573	-3.59943
574	-3.60531
575	-3.61119
576	-3.61707
577	-3.62295
578	-3.62883
579	-3.63471
580	-3.64059
581	-3.64646
582	-3.65234
583	-3.65822
584	-3.6641
585	-3.66998
586	-3.67586
587	-3.68174
588	-3.68762
589	-3.69349
590	-3.69937
591	-3.70525
592	-3.71113
593	-3.71701
594	-3.72289
595	-3.72877
596	-3.73465
597	-3.74052
598	-3.7464
599	-3.75228
600	-3.75816
601	-3.76404
602	-3.76992
603	-3.7758
604	-3.78168
605	-3.78755
606	-3.79343
607	-3.79931
608	-3.80519
609	-3.81107
610	-3.81695
611	-3.82283
612	-3.82871
613	-3.83458
614	-3.84046
615	-3.84634
616	-3.85222
617	-3.8581
618	-3.86398
619	-3.86986
620	-3.87574
621	-3.88161
622	-3.88749
623	-3.89337
624	-3.89925
625	-3.90513
626	-3.91101
627	-3.91689
628	-3.92276
629	-3.92864
630	-3.93452
631	-3.9404
632	-3.94628
633	-3.95216
634	-3.95804
635	-3.96392
636	-3.96979
637	-3.97567
638	-3.98155
639	-3.98743
640	-3.99331
641	-3.99919
642	-4.00507
643	-4.01095
644	-4.01682
645	-4.0227
646	-4.02858
647	-4.03446
648	-4.04034
649	-4.04622
650	-4.0521
651	-4.05797
652	-4.06385
653	-4.06973
654	-4.07561
655	-4.08149
656	-4.08737
657	-4.09325
658	-4.09913
659	-4.105
660	-4.11088
661	-4.11676
662	-4.12264
663	-4.12852
664	-4.1344
665	-4.14028
666	-4.14615
667	-4.15203
668	-4.15791
669	-4.16379
670	-4.16967
671	-4.17555
672	-4.18143
673	-4.1873
674	-4.19318
675	-4.19906
676	-4.20494
677	-4.21082
678	-4.2167
679	-4.22258
680	-4.22846
681	-4.23433
682	-4.24021
683	-4.24609
684	-4.25197
685	-4.25785
686	-4.26373
687	-4.26961
688	-4.27548
689	-4.28136
690	-4.28724
691	-4.29312
692	-4.299
693	-4.30488
694	-4.31076
695	-4.31663
696	-4.32251
697	-4.32839
698	-4.33427
699	-4.34015
700	-4.34603
701	-4.35191
702	-4.35778
703	-4.36366
704	-4.36954
705	-4.37542
706	-4.3813
707	-4.38718
708	-4.39306
709	-4.39893
710	-4.40481
711	-4.41069
712	-4.41657
713	-4.42245
714	-4.42833
715	-4.43421
716	-4.44009
717	-4.44596
718	-4.45184
719	-4.45772
720	-4.4636
721	-4.46948
722	-4.47536
723	-4.48124
724	-4.48711
725	-4.49299
726	-4.49887
727	-4.50475
728	-4.51063
729	-4.51651
730	-4.52239
731	-4.52826
732	-4.53414
733	-4.54002
734	-4.5459
735	-4.55178
736	-4.55766
737	-4.56354
738	-4.56941
739	-4.57529
740	-4.58117
741	-4.58705
742	-4.59293
743	-4.59881
744	-4.60469
745	-4.61056
746	-4.61644
747	-4.62232
748	-4.6282
749	-4.63408
750	-4.63996
751	-4.64584
752	-4.65171
753	-4.65759
754	-4.66347
755	-4.66935
756	-4.67523
