iteration(log10) 	error(log10)
585	-5.5886
586	-5.59456
587	-5.60052
588	-5.60649
589	-5.61245
590	-5.61841
591	-5.62438
592	-5.63034
593	-5.63631
594	-5.64227
595	-5.64823
596	-5.6542
597	-5.66016
598	-5.66613
599	-5.67209
600	-5.67805
601	-5.68402
602	-5.68998
603	-5.69595
604	-5.70191
605	-5.70787
606	-5.71384
607	-5.7198
608	-5.72577
609	-5.73173
610	-5.73769
611	-5.74366
612	-5.74962
613	-5.75559
614	-5.76155
615	-5.76751
616	-5.77348
617	-5.77944
618	-5.78541
619	-5.79137
620	-5.79733
621	-5.8033
622	-5.80926
623	-5.81523
624	-5.82119
625	-5.82715
626	-5.83312
627	-5.83908
628	-5.84505
629	-5.85101
630	-5.85697
631	-5.86294
632	-5.8689
633	-5.87487
634	-5.88083
635	-5.88679
636	-5.89276
637	-5.89872
638	-5.90469
639	-5.91065
640	-5.91661
641	-5.92258
642	-5.92854
643	-5.93451
644	-5.94047
645	-5.94643
646	-5.9524
647	-5.95836
648	-5.96433
649	-5.97029
650	-5.97625
651	-5.98222
652	-5.98818
653	-5.99415
654	-6.00011
