iteration(log10) 	error(log10)
728	-2.71485
729	-2.71784
730	-2.72083
731	-2.72383
732	-2.72682
733	-2.72981
734	-2.7328
735	-2.73579
736	-2.73878
737	-2.74177
738	-2.74476
739	-2.74775
740	-2.75074
741	-2.75373
742	-2.75672
743	-2.75971
744	-2.7627
745	-2.76569
746	-2.76868
747	-2.77167
748	-2.77466
749	-2.77765
750	-2.78064
751	-2.78363
752	-2.78662
753	-2.78961
754	-2.79261
755	-2.7956
756	-2.79859
757	-2.80158
758	-2.80457
759	-2.80756
760	-2.81055
761	-2.81354
762	-2.81653
763	-2.81952
764	-2.82251
765	-2.8255
766	-2.82849
767	-2.83148
768	-2.83447
769	-2.83746
770	-2.84045
771	-2.84344
772	-2.84644
773	-2.84943
774	-2.85242
775	-2.85541
776	-2.8584
777	-2.86139
778	-2.86438
779	-2.86737
780	-2.87036
781	-2.87335
782	-2.87634
783	-2.87933
784	-2.88232
785	-2.88531
786	-2.8883
787	-2.89129
788	-2.89428
789	-2.89728
790	-2.90027
791	-2.90326
792	-2.90625
793	-2.90924
794	-2.91223
795	-2.91522
796	-2.91821
797	-2.9212
798	-2.92419
799	-2.92718
800	-2.93017
801	-2.93316
802	-2.93615
803	-2.93915
804	-2.94214
805	-2.94513
806	-2.94812
807	-2.95111
808	-2.9541
809	-2.95709
810	-2.96008
811	-2.96307
812	-2.96606
813	-2.96905
814	-2.97204
815	-2.97503
816	-2.97802
817	-2.98102
818	-2.98401
819	-2.987
820	-2.98999
821	-2.99298
822	-2.99597
823	-2.99896
824	-3.00195
825	-3.00494
826	-3.00793
827	-3.01092
828	-3.01391
829	-3.01691
830	-3.0199
831	-3.02289
832	-3.02588
833	-3.02887
834	-3.03186
835	-3.03485
836	-3.03784
837	-3.04083
838	-3.04382
839	-3.04681
840	-3.0498
841	-3.0528
842	-3.05579
843	-3.05878
844	-3.06177
845	-3.06476
846	-3.06775
847	-3.07074
848	-3.07373
849	-3.07672
850	-3.07971
851	-3.0827
852	-3.08569
853	-3.08869
854	-3.09168
855	-3.09467
856	-3.09766
857	-3.10065
858	-3.10364
859	-3.10663
860	-3.10962
861	-3.11261
862	-3.1156
863	-3.11859
864	-3.12159
865	-3.12458
866	-3.12757
867	-3.13056
868	-3.13355
869	-3.13654
870	-3.13953
871	-3.14252
872	-3.14551
873	-3.1485
874	-3.15149
875	-3.15449
876	-3.15748
877	-3.16047
878	-3.16346
879	-3.16645
880	-3.16944
881	-3.17243
882	-3.17542
883	-3.17841
884	-3.1814
885	-3.1844
886	-3.18739
887	-3.19038
888	-3.19337
889	-3.19636
890	-3.19935
891	-3.20234
892	-3.20533
893	-3.20832
894	-3.21131
895	-3.21431
896	-3.2173
897	-3.22029
898	-3.22328
899	-3.22627
900	-3.22926
901	-3.23225
902	-3.23524
903	-3.23823
904	-3.24122
905	-3.24422
906	-3.24721
907	-3.2502
908	-3.25319
909	-3.25618
910	-3.25917
911	-3.26216
